text,label
"Still not sure why this channel is so underrated, these are some of the best cs videos I've seen on youtube. Keep up the good work :)",1
Ctrl + L to clear the screen. He did that at 4:26,1
Actually the one thingwhich I really wanted to do on windows is using linux commands but not able to find the steps to do it 😊 finally this video made my day,1
As i learn programming on my windows machine I notice every single tutorial/course/lesson the teacher is on a macbook pro? 3600$ just to get in a bash environment? Corey you helped me get with the cool kids this time! Thanks!,1
"for some reason it keeps saying this when i do a  sudo apt-get install command: E: ""Unable to locate package ________""",0
"bash tip: instead of:
$ nano ~/.bashrc
$ source ~/.bashrc

you can do:
$ nano ~/.bashrc
$ source !$

The `!$` is a shortcut equivalent to ""use the same argument that you used in the previous bash command"".",1
This video saved me from switching my entire life to Mac. Thanks a ton!,1
"First step: being a hacker 😭, all those codes.",0
I was having issues with the first step. This article helped: https://developerinsider.co/stepwise-guide-to-enable-windows-10-subsystem-for-linux/,0
I am crying right now!! This saves my life. I am searching good tutorial for months.,1
Looking forward to learn Django python.Please make videos on this topic.tq,1
"I think this is the best tutorial for this topic i have encountered so far! Thanks, man! You are awsome!",1
"Amazing tutorials, love them so much.",1
I never knew that bash can be run on windows. Thanks for the tutorial mate!,1
"Thanks for your help, just one thing more. Can you tell me where do I get these commands?",1
"this is incredibly helpful, ty!!",1
Another great tutorial. I followed along (successfully) on my Win10 installation which happens to be a VM running on my Mac. I'm starting to wonder how many layers of virtualisation and abstraction you can apply before the machine stops working.,1
Thanks so much! This was way easier than using cygwin,1
"Can you help me please when I try to install windwos subsystem linux, the pc restarts and says unloadings changes. could not install the updates. This happens everytime. I do not know what am I doing wrong.",1
"AHHHHH THANK YOU SO MUCH!!!!!
Now i can re-do exercices at home!!",1
After install I cant find my user name in the Users directory. Do I need to install one more time?,0
"Wherever you're on window explorer, hold shift and right click, you'll see the linux.",1
Great video. I'll definitely be using bash for Windows from now on.,1
This man is a saint.,1
"Hey corey ,nice video. I was wondering does this applies to all Distros available or only some chosen????",1
"This is really good, bro. Thanks you for the nice and quick tutorial.",1
"i dont have ""Windows subsystem fr linux"" on my pc why?",0
I love your tutorials! Have helped me so much. Thanks to you I've been able to make secure and access many server projects and my home is now safer and running linux for almost everything!!!,1
"Thank you so much for this video. I am teaching myself many skills I need to make the jump from academia to data science, and this has always been one of the most obscure CS topics for me. I've always used windows machines and having the possibility to use a bash inside windows without the need of a virtual machine is incredibly useful.",1
Damn you really captured this on 150% display scale with 36 font size...! 🤣,1
"Hey guys! Help!!
What would be the best follow video for this one that would help in the practice of logging in, and learning straight after this? Thank you.
Please let me know.",0
"Corey! Man, you never disappoint :)",1
can I install playonlinux on win windows10 using Linux subsystem ? (i have some old windows software which only runs in xp or wine),0
when i try downloading things it says invalid operation and when i do touch test.txt it says i dont have permission,0
"Just installed all of this prior to watching your video and as always, your videos are the best ones that explain all of this. You are a godsend!",1
"when I use the cd Users/ command it says no such file or directory !
please help.",0
"You are the game-changer of my day, it's working :)",1
"Why systemd doesnt works on Windows Subsystem for Linux ? How to run command ""sudo systemd daemon-reload"" in Windows Subsystem for Linux ?",0
"Hi! I get the following error: touch: cannot touch 'test.txt': Permission denied, even when using sudo first. why?",0
Does it make any diffrences between this Linux feature in Windows and installing Linux os?? Plz reply eagerly waiting for reply sir😊😊,0
Thank you very much for making amazing tutorials! My best wishes!,1
The video is informational and incredibly useful. The speed was a little fast and the screen not optimized at all times to see what's going on. Paaaaaause!,0
How can i configure my Ubuntu CLI to access to gcloud Docker and kubectl etc which are installed on my windows?,0
"This was great.  yes, please do a video on grep.  Love your videos.",1
can I install playonlinux on win windows10 using Linux subsystem ? (i have some old windows software which only runs in xp or wine),1
Finally Microsoft figured out how to make windows a good product... just turn it into Linux....,1
YESS finally I can do Linux work on Windows YEEES,1
Request from my side : Can u put the dedicated series for Python programming and setup environment stuffs using ubuntu terminal (WSL),1
Thank you for this. I was dual booting into Ubuntu but this gives me another option. Now if i get xfce or even gnome running this way i will be happy as a pig in mud. Thanks,1
"Does that mean that i can convert my. Py and. Kv file to apk without installing the virtual machine??
Is that so?",1
This is definitely what I am searching for 0_0. Thanks for making the life easier...,1
do you have a mind-reading ability? ... this came exactly when I need it !!  :D ... but what about git bash?,1
Still waiting on the how to create vertical search engines with python videos. 😉,1
Thanks for a great job! How to download quantum espresso via linux/bash on windows 10,1
I thought this was how to get Linux OS :(,0
"can i install composer for my windows from this terminal ?  and if it can,where the composer folder will be?",0
loved it !... Can't thank u enough for this and all other videos. <3 <3 <3,1
"how do you clear a command prompt?
I keep seeing you using it but feel sad coz I can't follow.",0
Can I install programs that are Linux on Windows?,1
How many ads you gotta have dude like i almost dont even wanna watch,0
"Trust me guys, this single video is enough to help you to start with linux on your windows (Btw build essential part was only thing missing)",1
Thanks for your videos. I use Virtualbox and have many VMs with various distros. It's a nice way to try other distros and create environments for specific purposes and languages.,1
"Thanks for sharing this valuable info. Are you aware of anything similar where you can use sudo apt-get, grep, etc. for windows 8.1?",1
You saved the day.  This is very helpful.  Thanks for helping me out.,1
"Great video, Thank you~~",1
Amazing. Thank you.,1
"u are my CS teacher <3

thanks a lot",1
I'm rebooting now! Thanks.,1
"Very nice tutorial! however, I keep getting the error: 'Permission denied' when trying to create any script with the touch command (even with sudo). Do you know what's wrong with my WSL? I will appreciate the help. Thanks in advance¡",0
How do I install sublime? Or how do I link my already installed sublime text 3 application to my ubuntu terminal?,0
I spent all day trying to figure out how to get to my desktop with forums and nobody mentioned /mnt/. THANK YOU!,1
"Sir Corey, It is an incredible video. Thank you so much.",1
"sudo apt install tree not working in my ubuntu bash system, It shows the connection failed.",1
"hi corey ,thanks for the useful videos.i did install ubuntu on my windows 10 and its working great ,but there is a small prroblem that ubuntu can only see my hard drive partitions but ubuntu couldn't  mount my server drive .if you have any idea how to solve this problem ,it would be great if you can share it with us.
Thank you in advance",0
"Hey Corey. 
How do I get the gnome-terminal here instead of the bash which comes with cmd type functionalities?",0
"Hi Guys, can anyone help me here?  I can't create a touch file it says permission denied!  I am doing everything as Corey is explaining",0
"How much time taken to installing, ubuntu it says few minutes",0
"hi i am new to all this and have to say your vid was very helpful, i had to spend 4 hours looking for a simple mistake i made, a / i did not type....hahaha thank you really want to learn linux",1
Why is my computer taking so long to restart after enabling the windows Linux sub thing?,0
You need to go a lot faster!,0
"Hello can u help me  i m facing problem while intalling and packages through base ....i m getting an Error

E:Unable to locate package brew ???

How could it solved it",0
Installed the ubuntu subsys and tried ls and nothing happened. Then found here 4:45 came here for this. thanks so  much. now I'm a subscriber.,1
Great introduction to Linux on Windows. Glad to be a Patreon subscriber.,1
Awesome tutorial!!! Helped me so much as a BASH beginner,1
Great understandable and i really need this for work so thanks again corey,1
u can also just simply install git thou,0
Thanks for the awesome tutorial. But how to uninstall it?,1
"what about if I want to run a daily task in a crontab... I mean, do I have to have the ubuntu or bash terminal always open in the w10 host or there is a way to do it in the back ground as it should be in a linux server?",1
Thank you <3,1
Corey you are an explanation guru :p allways fast simple and to the point with good examples and possible problems solutions.,1
thank you for increasing the font size.  Thank you,1
Thank you very much Corey. Finally found a video that actually solved my problem,1
Awesome tutorial Corey!,1
What did you record this on,1
"good video
but I am getting permission denied while creating the file at 7.25 as shown in your video.
can you please help me with it",0
please how to do i locate folders and files installed via linux for windows,0
"You, man, you answer to questions I would've never imagined. You won't stop on basic stuff, you try to make our lives easier <3
I'm actually learning to program a bit (python) with you and your videos are insanely good. I'll stick with your videos for bash too, after python! You're a great teacher, keep it up!",1
"Great video Corey. 

Quick question can you install Linux/Bash on Windows 7 as well? I believe you can.",1
It says their are too many arguments when I do user@[redacted]:/mnt/c/Users$ cd my user,0
"Will setting up and working with DeepLearning Frameworks (Keras, based on TensorFlow for instance) work out like this, too. Can I install CUDA, the libraries, an appropriate graphic cards driver and so on with this?
Only doing this in Linux was not a easy task. But now, performing this accross two operating system simultaneous sounds like a lot of trouble... Anyone any experience on that?",1
"Hope you enjoy! This is obviously geared toward people learning React. I have a React project playlist for more project based videos as well as a few Udemy courses. I will also be updating my Vue, Angular crash courses and many others",1
Man you’re just a blessing to this world,1
"I love the guest hosts, but I was surprised and delighted to hear brad himself!!!!",1
"Wow! Every year I wait for crash course updates, more than movies hahah.",1
Brad I was missing you badly . Your voice motivates me to code more . Please comeback as soon as possible. Get well soon Other devs are good but traversy media is incomplete without Brad . 👍👍,1
WOW! Brad is back with a React Crash Course! WHOA! Just cancelled lunch plans with my family. This is a big moment for me instead! lol,1
TRAVERSY is a LEGEND!! There are going to be books written about this guy when he's done!,1
"Brad, we really can't thank you enough!",1
Am 16 I can’t finish thanking you Brad you changed my life ❤️,1
I swear man i just wished today that traversy media should upload a crash course on react too and here u r making my wish true thank you so much traversy media,1
Are you serious? I was just planning to start learning React! haha this is awesome 😄,1
Just as i was reading the official react document this video popped up. Brad knows it ahead of time cheers!,1
love you brad <3,1
so happy to see this was the first recommended video when i was looking up react tutorials,1
"1:30:00 on second task lost ""i"" in ""id""",0
Legend is back 🙌,1
"""Brad releases a React crash course""
Me experienced in React watching it 😂",1
